Address,Link,Bedrooms,Bathrooms,Parking,Area,Type,Suburb,Scraped Date,Days on Market,Asking Price
"606/112 Mounts Bay Road, Perth",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-perth-139597603,1,1,1,49,1,subiaco,2025-10-01,,300
"Address available on request, Wembley",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-wembley-141144496,1,1,1,0,1,subiaco,2025-10-01,,0
"5/8 Ord Street, Fremantle",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-fremantle-149187060,1,1,1,0,1,fremantle,2025-10-01,,400000
"301/23 Adelaide Street, Fremantle",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-fremantle-149101420,2,1,1,58,2,fremantle,2025-10-01,,0
"8/10 Quarry Street, Fremantle",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-fremantle-148845900,1,1,0,0,1,fremantle,2025-10-01,,399000
"7/23 Adelaide Street, Fremantle",https://www.realestate.com.auhttps://www.realestate.com.au/property-studio-wa-fremantle-148634132,1,1,0,40,1,fremantle,2025-10-01,,300
"18/320 Canning Highway, Bicton",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-bicton-148819408,1,1,1,0,1,fremantle,2025-10-01,,499000
"5/23 Money Road, Melville",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-melville-149160528,2,1,1,78,2,fremantle,2025-10-01,,0
"7/40 Waddell Road, Bicton",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-bicton-149121924,2,1,1,158,2,fremantle,2025-10-01,,0
"2/30 Lorraine Place, Hamilton Hill",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-hamilton+hill-149112488,1,1,1,0,1,fremantle,2025-10-01,,345000
"u 1/1 Douro Road, South Fremantle",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-south+fremantle-145615052,1,1,2,39,1,fremantle,2025-10-01,,0
"Address available on request, Wanneroo",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-wanneroo-149152648,3,2,2,188,3,joondalu,2025-10-01,,534962
"604/60 Grose Avenue, Cannington",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-cannington-146463736,2,1,1,84,2,cannington,2025-10-01,,0
"603/18 Cecil Avenue, Cannington",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-cannington-148728824,1,1,0,48,1,cannington,2025-10-01,,439000
"72 Wendouree Road, Wilson",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-wilson-144832260,4,2,2,0,4,cannington,2025-10-01,,0
"15/7 Streatham Street, Beckenham",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-beckenham-149136184,2,1,1,0,2,cannington,2025-10-01,,500
"9/4 Central Terrace, Beckenham",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-beckenham-149117324,2,2,1,0,2,cannington,2025-10-01,,509
"5/41 Camberwell Street, Beckenham",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-beckenham-149175448,0,1,1,0,1,cannington,2025-10-01,,405000455000
"3/51 Meyrick Way, Langford",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-langford-147999656,3,1,1,86,3,cannington,2025-10-01,,499000
"187/81 King William Street, Bayswater",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-bayswater-149195872,2,1,1,55,2,morle,2025-10-01,,415000
"3/2 Ashbury Crescent, Mirrabooka",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-mirrabooka-148866736,2,1,3,67,2,morle,2025-10-01,,0
"1/71 Chesterfield Road, Mirrabooka",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-mirrabooka-149162148,2,1,1,68,2,morle,2025-10-01,,0
"Address is available on request, Beechboro",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-beechboro-148906260,4,2,2,0,4,morle,2025-10-01,,500
"UNIT 158/81 King William Street, Bayswater",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-bayswater-147748656,2,1,1,58,2,morle,2025-10-01,,0
"8/2A Wroxton Street, Midland",https://www.realestate.com.auhttps://www.realestate.com.au/property-townhouse-wa-midland-149160480,2,1,1,51,2,midlandpy,2025-10-01,,0
"1/19 Hamersley Street, Midland",https://www.realestate.com.auhttps://www.realestate.com.au/property-villa-wa-midland-149160412,3,1,1,83,3,midlandpy,2025-10-01,,529000
"25/114 Great Northern Highway, Midland",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-midland-148623048,2,2,1,72,2,midlandpy,2025-10-01,,0
"10/18 Elvire Street, Midland",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-midland-149074796,3,1,1,0,3,midlandpy,2025-10-01,,445000
"Address available on request, Midland",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-midland-148972088,2,1,1,0,2,midlandpy,2025-10-01,,300
"8/59 Victoria Street, Midland",https://www.realestate.com.auhttps://www.realestate.com.au/property-villa-wa-midland-148909548,2,1,2,64,2,midlandpy,2025-10-01,,405000
"6/17 Poynton Avenue, Woodbridge",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-woodbridge-149130596,2,1,2,88,2,midlandpy,2025-10-01,,469000
"72 Wendouree Road, Wilson",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-wilson-144832260,4,2,2,0,4,victoria,2025-10-01,,0
"83/8 Hampton, Burswood",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-burswood-149036216,2,1,1,69,2,victoria,2025-10-01,,400000
"17/15 Leonard Street, Victoria Park",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-victoria+park-149035796,1,1,1,50,1,victoria,2025-10-01,,450000
"18/320 Canning Highway, Bicton",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-bicton-148819408,1,1,1,0,1,park,2025-10-01,,499000
"17/522 Stirling Highway, Peppermint Grove",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-peppermint+grove-149154212,1,1,1,0,1,park,2025-10-01,,495000
"7/40 Waddell Road, Bicton",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-bicton-149121924,2,1,1,158,2,park,2025-10-01,,0
"4/176 Elliott Road, Scarborough",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-scarborough-149195512,2,1,1,49,2,scarborough,2025-10-01,,499000
"14/171 West Coast Highway, Scarborough",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-scarborough-149086872,1,1,0,49,1,scarborough,2025-10-01,,392000
"17/522 Stirling Highway, Peppermint Grove",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-peppermint+grove-149154212,1,1,1,0,1,claremont,2025-10-01,,495000
"Address available on request, Baldivis",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-baldivis-149043796,3,2,2,0,3,baldivis,2025-10-01,,525684
"Address available on request, Baldivis",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-baldivis-148847000,3,2,2,0,3,baldivis,2025-10-01,,537260
"17/26 Morrit Way, Parmelia",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-parmelia-149201164,2,1,1,75,2,baldivis,2025-10-01,,369000
"19 Preston Rd, Parmelia",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-parmelia-149200460,2,1,1,0,2,baldivis,2025-10-01,,549000
"10 Farmer Way, Parmelia",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-parmelia-149052740,3,1,1,764,3,baldivis,2025-10-01,,550000
"10/10 Soraya Place, Cooloongup",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-cooloongup-149187220,2,1,1,0,2,baldivis,2025-10-01,,399000
"20/24 Morrit Way, Parmelia",https://www.realestate.com.auhttps://www.realestate.com.au/property-apartment-wa-parmelia-147880424,2,1,1,68,2,baldivis,2025-10-01,,399000
"576 Zodiac Street, Wellard",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-wellard-148749108,2,1,2,180,2,baldivis,2025-10-01,,549000
"8/68 Bondi Crescent, Warnbro",https://www.realestate.com.auhttps://www.realestate.com.au/property-villa-wa-warnbro-149038692,3,1,1,0,3,baldivis,2025-10-01,,0
"Lot 585 595 & 592 Oakbella Stage 11, Wellard",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-wellard-149187052,4,2,2,0,4,baldivis,2025-10-01,,500
"11/309 Railway Avenue, Armadale",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-armadale-149186440,3,2,2,228,3,armadale,2025-10-01,,500000
"1A Sinclair Street, Armadale",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-armadale-149179160,2,1,1,477,2,armadale,2025-10-01,,0
"36 Gribble Avenue, Armadale",https://www.realestate.com.auhttps://www.realestate.com.au/property-house-wa-armadale-149138580,3,1,1,708,3,armadale,2025-10-01,,549000
"Address available on request, Armadale",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-armadale-148087924,3,2,2,270,3,armadale,2025-10-01,,499520
"14/9 Gladstone Road, Armadale",https://www.realestate.com.auhttps://www.realestate.com.au/property-unit-wa-armadale-148087404,3,2,2,145,3,armadale,2025-10-01,,545000570000
